Location,Year,Week,Air_Temp_DB,Air_Temp_Avg,Dew_Point,Heat_Index,Relative_Humidity,Soil_Temp_Avg,Soil_Moisture_Avg,Plant_Available_Water,Saturation_Index,Soil_Temp_0.1,Soil_Temp_0.2,Soil_Temp_0.3,Soil_Temp_0.4,Active_Radiation,Solar_Radiation,Precipitation
Kinston,2019,0,73.01,73.01,61.11,80.53,0.68,76.58,0.26,0.11,0.65,77.2,76.81,76.62,76.22,506.39,260.61,0.92
Kinston,2019,1,77.93,77.92,66.59,83.17,0.7,81.01,0.25,0.1,0.61,80.74,79.96,79.4,78.69,563.67,282.48,1.31
Kinston,2019,2,81.61,81.61,65.45,84.64,0.6,85.07,0.2,0.05,0.49,84.99,83.51,82.49,81.49,643.65,326.11,0
Kinston,2019,3,81.14,81.18,70.78,86.3,0.73,85.83,0.12,0,0.29,86.48,84.94,83.96,83.1,511.47,252.76,0.47000000000000003
Kinston,2019,4,81.18,81.15,71.51,86.97,0.74,85.56,0.22,0.09,0.56,85.67,84.47,83.72,82.95,555.53,279.56,2.9
Kinston,2019,5,85.55,85.54,72.31,92.13,0.66,87.51,0.23,0.08,0.58,86.93,86.07,85.46,84.72,611.45,302.09,0.38
Kinston,2019,6,75.95,75.94,63.51,82.76,0.68,82.69,0.25,0.1,0.62,82.53,82.51,82.48,82.19,569.37,292.2,0.96
Kinston,2019,7,77.61,77.58,67.92,81.86,0.74,83.64,0.21,0.06,0.53,83.21,82.97,82.75,82.31,457.91,228.3,0.92
Kinston,2019,8,79.16,79.12,68.66,83.76,0.72,83.35,0.26,0.11,0.66,83.48,82.9,82.55,82.05,546.91,276.88,1.6300000000000001
Kinston,2019,9,79.37,79.37,72.2,84.67,0.8,83.02,0.26,0.11,0.64,82.92,82.64,82.45,82.05,376.49,188.3,1.66
Kinston,2019,10,76.24,76.24,68.94,83.63,0.79,80.6,0.23,0.08,0.57,81.12,81.2,81.28,81.08,413.7,213.68,0.38
Kinston,2019,11,75.64,75.65,65.53,81.99,0.73,78.6,0.17,0.02,0.43,79.79,79.55,79.43,79.14,431.5,240.37,0
Kinston,2019,12,77.5,77.46,70.44,82.84,0.8,78.75,0.26,0.13,0.66,79.85,79.51,79.35,79,346.26,177.2,2.19
Kinston,2019,13,76.99,76.99,69.78,81.81,0.79,80.15,0.26,0.11,0.64,80.73,80.37,80.13,79.73,418.92,214.35,0.01
Kinston,2019,14,69.46,69.45,58.32,79.56,0.7,75.49,0.2,0.05,0.51,75.84,76.46,76.88,76.95,466.95,244.11,0
Kinston,2019,15,77.37,77.36,67.63,82.95,0.73,79.08,0.16,0.01,0.39,79.56,79.1,78.76,78.28,424.55,214.91,0
Kinston,2019,16,74.08,74.11,63.92,82.98,0.72,78.46,0.12,0,0.31,79,79.04,79.07,78.85,342.33,168.72,0
Kinston,2019,17,65.56,65.6,56.29,78.42,0.74,72.73,0.11,0,0.27,73.5,74.2,74.74,74.89,271.99,136.06,0.57
Kinston,2019,18,59.82,59.81,50.49,76.75,0.74,66,0.13,0,0.32,66.72,68.16,69.26,69.82,252.23,129.91,1.19
